     1     2  0.9225565686E-02  -0.000000000    
     1     3  0.5970979728E-02  -0.000000000    
     1     4  0.5967880219E-02  -0.000000000    
     2     1  0.9249652320E-02  -0.000000000    
     2     2  0.9087332902E-02  -0.000000000    
     2     3  0.5978208354E-02  -0.000000000    
     2     4  0.5976568661E-02  -0.000000000    
     3     1  0.1187288152E-01  -0.000000000    
     3     2  0.1195145591E-01  -0.000000000    
     3     3  0.9308128876E-02  -0.000000000    
     3     4  0.9225565686E-02  -0.000000000    
     4     1  0.1197018997E-01  -0.000000000    
     4     2  0.1214873176E-01  -0.000000000    
     4     3  0.9249652320E-02  -0.000000000    
     4     4  0.9087332902E-02  -0.000000000    

           1           1           0
     1     1  0.5226039740E-02  -0.000000000    
     1     2  0.5145030336E-02  -0.000000000    
     1     3  0.3103639551E-02  -0.000000000    
     1     4  0.3152019678E-02  -0.000000000    
     2     1  0.5282128187E-02  -0.000000000    
     2     2  0.5204710600E-02  -0.000000000    
     2     3  0.3159721135E-02  -0.000000000    
     2     4  0.3207004779E-02  -0.000000000    
     3     1  0.8712566596E-02  -0.000000000    
     3     2  0.8602520349E-02  -0.000000000    
     3     3  0.5224202777E-02  -0.000000000    
     3     4  0.5272300315E-02  -0.000000000    
     4     1  0.8627912543E-02  -0.000000000    
     4     2  0.8381196568E-02  -0.000000000    
     4     3  0.5154798676E-02  -0.000000000    
     4     4  0.5206607914E-02  -0.000000000    

           1           2           0
     1     1  0.2084949907E-02  -0.000000000    
     1     2  0.2006356174E-02  -0.000000000    
     1     3  0.6913847885E-03  -0.000000000    
     1     4  0.7237702219E-03  -0.000000000    
     2     1  0.2153299748E-02  -0.000000000    
     2     2  0.2074954381E-02  -0.000000000    
     2     3  0.7253254302E-03  -0.000000000    
     2     4  0.7576712483E-03  -0.000000000    
     3     1  0.4024615358E-02  -0.000000000    
     3     2  0.3933645811E-02  -0.000000000    
     3     3  0.2082760650E-02  -0.000000000    
     3     4  0.2146291098E-02  -0.000000000    
     4     1  0.3942786497E-02  -0.000000000    
     4     2  0.3849266962E-02  -0.000000000    
     4     3  0.2012437858E-02  -0.000000000    
     4     4  0.2076648547E-02  -0.000000000    

           2          -3           0
     1     1  0.2059912993E-02  -0.000000000    
     1     2  0.2181256511E-02  -0.000000000    
     1     3  0.2546622732E-02  -0.000000000    
     1     4  0.2449614101E-02  -0.000000000    
     2     1  0.1979564233E-02  -0.000000000    
     2     2  0.2098826474E-02  -0.000000000    
     2     3  0.2454736100E-02  -0.000000000    
     2     4  0.2360955427E-02  -0.000000000    
     3     1  0.1357815506E-02  -0.000000000    
     3     2  0.1462633220E-02  -0.000000000    
     3     3  0.2060288148E-02  -0.000000000    
     3     4  0.1977316464E-02  -0.000000000    
     4     1  0.1462633188E-02  -0.000000000    
     4     2  0.1569286405E-02  -0.000000000    
     4     3  0.2182780327E-02  -0.000000000    
     4     4  0.2097753213E-02  -0.000000000    

           2          -2           0
     1     1  0.4203908802E-02  -0.000000000    
     1     2  0.4317613545E-02  -0.000000000    
     1     3  0.4024615358E-02  -0.000000000    
     1     4  0.3933645811E-02  -0.000000000    
     2     1  0.4105230079E-02  -0.000000000    
     2     2  0.4218998499E-02  -0.000000000    
     2     3  0.3942786497E-02  -0.000000000    
     2     4  0.3849266962E-02  -0.000000000    
     3     1  0.3804919217E-02  -0.000000000    
     3     2  0.3936638232E-02  -0.000000000    
     3     3  0.4204956582E-02  -0.000000000    
