 written on 19Jul2020 at 16:10:25 
   134.22225299999999       -1.0362302350000000E-014   0.0000000000000000     
   67.111126499999997        116.23988079999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        137.57225299999999     
          12
         147
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    2    1    1

   -7    3    0
   10    2    0.58878767E-05  0.19954736E-06
   11    2    0.55081487E-06  0.24367898E-07
   12    2    0.54887437E-05 -0.16021321E-06
    1    3   -0.51268900E-05 -0.20801839E-06
    2    3    0.19610641E-05  0.15209819E-08
    3    3   -0.37690723E-06 -0.61291551E-07
    4    3   -0.49372256E-05  0.19429839E-06
    5    3   -0.47654067E-05  0.73097022E-07
    6    3    0.11009719E-05  0.28254027E-06
    7    3   -0.63360545E-06 -0.26888537E-06
    8    3    0.21501051E-05  0.84655633E-08
    9    3    0.61288402E-05 -0.64249347E-07
   10    3   -0.64518747E-05 -0.74565860E-07
   11    3   -0.72110246E-05  0.21962344E-06
   12    3    0.24939114E-05  0.85124129E-07
    1    4    0.20808091E-05  0.36327776E-07
    2    4    0.54145703E-05  0.15540992E-06
    3    4    0.52214978E-05  0.71442541E-07
    4    4   -0.43494519E-06 -0.25545986E-07
    5    4    0.11934054E-05  0.46596743E-07
    6    4    0.45889205E-05 -0.26207882E-06
    7    4   -0.20056814E-05  0.98807165E-07
    8    4   -0.49026488E-06 -0.37028720E-08
    9    4   -0.65624216E-05 -0.10255774E-07
   10    4   -0.69860383E-05  0.10686947E-06
   11    4    0.21898620E-05  0.22732966E-06
   12    4    0.73990681E-05 -0.12566794E-06
    1    5   -0.64699605E-05 -0.13625325E-08
    2    5    0.53576299E-05  0.62021755E-07
    3    5    0.33935561E-05 -0.12975852E-06
    4    5   -0.31397996E-06  0.25004484E-07
    5    5   -0.16940156E-05  0.13423097E-06
    6    5   -0.31998935E-05  0.16916079E-06
    7    5   -0.31260522E-05  0.56449260E-07
    8    5   -0.86802776E-05 -0.31038780E-06
    9    5   -0.81343134E-06 -0.96575672E-07
   10    5    0.44041738E-05  0.13991893E-06
   11    5   -0.77549117E-06 -0.35922492E-06
   12    5   -0.19577861E-05 -0.37863063E-06
    1    6   -0.49569423E-05 -0.14183810E-06
    2    6   -0.65353132E-05  0.80132099E-07
    3    6   -0.79857766E-07  0.35487383E-07
    4    6   -0.31561827E-05  0.12500531E-06
    5    6    0.32821473E-05 -0.30275290E-06
    6    6   -0.16479016E-05 -0.63701082E-07
    7    6   -0.83331144E-05  0.25199370E-07
    8    6    0.27328927E-05  0.12099001E-06
    9    6   -0.48174771E-05 -0.96339685E-09
   10    6   -0.46673167E-06 -0.22325489E-06
   11    6    0.17971195E-05  0.11822558E-06
   12    6   -0.50811986E-06 -0.83089577E-07
    1    7   -0.14661924E-05 -0.19740836E-06
    2    7    0.66422284E-05  0.15650654E-07
    3    7    0.20135692E-05 -0.44045590E-07
    4    7   -0.73143550E-06  0.13134621E-06
    5    7   -0.45169449E-05  0.32913018E-06
    6    7   -0.30517215E-05  0.24999076E-06
    7    7    0.26195106E-05 -0.14150864E-06
    8    7   -0.39627596E-05 -0.15998190E-06
    9    7    0.59249189E-05 -0.14279702E-06
   10    7    0.11443551E-05  0.85039536E-07
   11    7   -0.34428451E-05  0.21551723E-06
   12    7   -0.24307701E-05 -0.11954139E-06
    1    8    0.60375953E-05 -0.10367020E-06
    2    8    0.14138664E-05  0.44910658E-07
    3    8    0.62610230E-06 -0.61243829E-07
    4    8    0.16008466E-05 -0.99711608E-07
    5    8   -0.34569744E-05  0.65493712E-07
    6    8    0.43619738E-05 -0.18355436E-06
    7    8    0.38825448E-05  0.10766435E-07
    8    8    0.26082173E-05  0.13989701E-06
    9    8    0.16196006E-05 -0.29724009E-06
   10    8   -0.61150001E-05  0.19008292E-06
   11    8   -0.25839201E-05 -0.23196838E-07
   12    8    0.32529056E-05  0.16670321E-06
    1    9    0.45884584E-05  0.15745526E-06
    2    9   -0.98178219E-06  0.21455765E-06
    3    9   -0.37518212E-05  0.12116848E-07
    4    9    0.34743325E-05  0.74815195E-07
    5    9    0.51027901E-05 -0.84312919E-07
    6    9   -0.33874674E-05  0.15768577E-06
    7    9    0.16903147E-05  0.93600394E-07
    8    9    0.73093591E-05  0.82788522E-07
    9    9   -0.29622070E-06 -0.59191752E-07
   10    9    0.44546085E-05  0.18762923E-07
   11    9    0.39006642E-05  0.21081290E-06
   12    9    0.38870607E-05  0.17046095E-06
    1   10    0.84396867E-06 -0.16192150E-06
    2   10    0.47457442E-05  0.16095653E-06
    3   10    0.33493558E-05 -0.85080408E-07
    4   10    0.37825301E-05  0.70390613E-07
    5   10    0.37135959E-05 -0.84688895E-07
    6   10    0.48923174E-05 -0.73208138E-07
    7   10    0.75871145E-05  0.12380916E-06
    8   10   -0.14427696E-05 -0.50381730E-07
    9   10   -0.42734125E-05 -0.16509802E-06
   10   10   -0.51981414E-06  0.14751532E-08
   11   10   -0.38078809E-05 -0.22333062E-06
   12   10    0.40366155E-05  0.27129195E-06
    1   11   -0.10102113E-05  0.26027316E-07
    2   11    0.69265830E-05  0.45130883E-06
    3   11   -0.19195641E-05 -0.37408608E-07
    4   11    0.26634903E-05  0.37547535E-07
    5   11    0.37359849E-05 -0.56708736E-07
    6   11    0.34021502E-05  0.13250493E-08
    7   11    0.17277877E-06  0.11862383E-07
    8   11   -0.21966994E-05  0.10973322E-06
    9   11   -0.90512292E-05 -0.94794604E-07
   10   11   -0.11485667E-05 -0.82246450E-08
   11   11    0.20281704E-05  0.91803292E-07
   12   11   -0.31920375E-05 -0.26091402E-06
    1   12   -0.67823606E-05 -0.44439308E-06
    2   12   -0.91523795E-06 -0.24666059E-07
    3   12    0.29107745E-05 -0.26276258E-07
    4   12    0.20733332E-05  0.61248926E-07
    5   12   -0.35469106E-05  0.26258652E-07
    6   12    0.36909643E-05  0.97310319E-07
    7   12   -0.24539984E-05 -0.14619263E-07
    8   12   -0.23823479E-06 -0.10318852E-06
    9   12    0.64062497E-06  0.10638205E-06
   10   12   -0.92025717E-05 -0.29491289E-07
   11   12    0.31012563E-05  0.17600237E-06
   12   12    0.22227397E-05  0.17947654E-07

   -6    0    0
    1    1    0.22108228E-06  0.58537354E-12
    2    1    0.49790450E-08 -0.47857382E-06
